epoch,lr,train_loss,train_top1,train_top5
1,0.1,3.908154028686519,0.08924126486586152,0.2874527519129713
2,0.1,3.5805822603271955,0.1416059740020282,0.39162902184935927
3,0.1,3.365080462146533,0.18991426200792846,0.4503549368488983
4,0.1,3.1900865512475822,0.22457822439384162,0.5118465935281644
5,0.1,3.0481276214974504,0.25029962201530376,0.5472480870286716
6,0.1,2.8924201283464126,0.2797086752097354,0.5858762791555269
7,0.1,2.7602575578985866,0.30810362312160045,0.6163916290218494
8,0.1,2.6156648367662587,0.332810915460496,0.6558495436526228
9,0.1,2.510931123904262,0.3560431455702037,0.674564395685443
10,0.1,2.3712288196750464,0.38831013183368673,0.7036968747119019,4.275564056015015,0.165,0.3853,0.11286475829643672,0.1128647582964367,0.165,0.3705714285714286,0.09771428571428571,0.003666666666666667,0.2586637404277044,2.661689180994414,0.34584702017832003,0.660253402158611,0.1469883386002689,0.31260241812519607,0.16559937464627786,0.36711725296554787,0.09650000792857935,0.01111111111111111,0.12451864981485303
11,0.1,2.297318081081194,0.40324513690421315,0.7195537936756707
12,0.1,2.194906986000418,0.4289665345256753,0.7363326265326818
13,0.1,2.1032137101263872,0.445560984604038,0.7567991149626625
14,0.1,2.034630470169495,0.4607725638425371,0.7715497372545405
15,0.1,1.9575064128649953,0.4770904397529271,0.7841799575919609
16,0.1,1.8903066410143123,0.49589748317507143,0.7945053931962754
17,0.1,1.8316880773704503,0.5018899234811469,0.8097169724347746
18,0.1,1.764450485139022,0.5222642205218032,0.8149718816262561
19,0.1,1.7126483511592843,0.5348944408592238,0.828155250299622
20,0.1,1.6696490096289782,0.5412556467225961,0.8328570111551581,3.747768936920166,0.2413,0.5016,0.19584983129963057,0.19584983129963054,0.2413,0.4788571428571428,0.18885714285714283,0.025333333333333333,0.27260221305345106,2.1408030310464765,0.45753167526982635,0.7658376349131863,0.23473101759383128,0.4339626234750887,0.24089760474049712,0.46592184396036,0.17949988386963175,0.05,0.12761449707905176
21,0.1,1.6060030503768443,0.5578500968009588,0.8435512123167697
22,0.1,1.5642470191390414,0.5698349774131096,0.8500968009587905
23,0.1,1.5249337904286449,0.5806213699640453,0.8575643034940537
24,0.1,1.490313141106614,0.5859684705448511,0.8646630404720199
25,0.1,1.4318803943576182,0.6001659445007836,0.8731446482898497
26,0.1,1.4188329741912382,0.6011800497833503,0.8766479210841708
27,0.1,1.3742511211655333,0.6122430165022587,0.8816262561076795
28,0.1,1.3486742156985236,0.6239513229464368,0.8847607633447037
29,0.1,1.324261323619001,0.6305891029777819,0.8859592514059187
30,0.1,1.3124205152746873,0.6262561076795428,0.891121969208076,3.334005209350586,0.2896,0.5668,0.23993048996931624,0.23993048996931626,0.2896,0.5511428571428572,0.2394285714285714,0.043000000000000003,0.24882146272731248,1.9349050374726968,0.5025809479117785,0.7972782731112154,0.28385736539804285,0.490156574363254,0.2944211248771579,0.5370831049661096,0.25650106134957973,0.05555555555555555,0.1104211259423599
31,0.1,1.2711560589779003,0.6328016963215636,0.8967456439568544
32,0.1,1.2532639765482274,0.6447865769337144,0.8991426200792846
33,0.1,1.1916759147988691,0.6607356872868074,0.9043975292707661
34,0.1,1.1888106266364442,0.6585230939430258,0.9098368212408962
35,0.1,1.1940929336988333,0.6587996681109984,0.9060569742786024
36,0.1,1.165729739280893,0.6637780031345072,0.9092836729049507
37,0.1,1.1433626021988943,0.6678344242647737,0.9148151562644049
38,0.1,1.0975721827396943,0.6836913432285424,0.9166589840508896
39,0.1,1.0793540025236552,0.6842444915644879,0.9216373190743985
40,0.1,1.0820482496436294,0.6812021757167881,0.9238499124181802,3.5886551376342775,0.2923,0.5769,0.24140385099003903,0.24140385099003903,0.29229999999999995,0.5505714285714285,0.2511428571428571,0.03900000000000001,0.3027503142818577,2.022790479413896,0.5157203190990145,0.7982167996245894,0.27434013034515237,0.5053502466762944,0.2866087327477813,0.5335364273879326,0.24725042808191858,0.04444444444444444,0.14844118258805877
41,0.1,1.0449525716283459,0.6986263482990689,0.9268000368765558
42,0.1,1.0605346561412365,0.6871946160228635,0.926523462708583
43,0.1,1.0312628063109763,0.6958606066193418,0.9281829077164193
44,0.1,1.0293464069983218,0.6949386927260994,0.9325159030146585
45,0.1,0.9881685472055658,0.706462616391629,0.9333456255185766
46,0.1,1.0038704649252728,0.7078454872314925,0.9310408407854707
47,0.1,0.9907957469415827,0.710334654743247,0.9338065824651978
48,0.1,0.9615900554370801,0.7120862911404074,0.935834793030331
49,0.1,0.9370930535876609,0.7211210472941827,0.9413662763897852
50,0.1,0.9327946327694706,0.7241633631418826,0.9403521711072186,3.9524835525512696,0.303,0.6041,0.27559300970283496,0.27559300970283496,0.303,0.5311428571428571,0.2777142857142857,0.06633333333333334,0.3656100907032768,2.423562031629107,0.4950727358047865,0.7794462693571094,0.28819507455429433,0.4992072707685085,0.2961331215519468,0.5233759541955525,0.27033772642905773,0.06111111111111111,0.22744262529574755
51,0.1,0.922248018197863,0.7260071909283673,0.944408592237485
52,0.1,0.9304600892621294,0.7199225592329677,0.9445007836268092
53,0.1,0.9175899744341536,0.7267447220429611,0.9439476352908638
54,0.1,0.9070389252923607,0.7289573153867429,0.9456992716880244
55,0.1,0.8884718635944526,0.7338434590209274,0.9453305061307274
56,0.1,0.8954681845164973,0.7353185212501152,0.945975845855997
57,0.1,0.8596895576578423,0.7405734304415967,0.9512307550474786
58,0.1,0.8620720868551578,0.74260164100673,0.9533511570019361
59,0.1,0.863914065870083,0.7426938323960542,0.9490181617036969
60,0.1,0.836883130574255,0.745736148243754,0.9526136258873421,4.030648909378051,0.3026,0.5865,0.2622283477778636,0.2622283477778636,0.3026,0.5568571428571427,0.26971428571428574,0.044333333333333336,0.37829623139360746,2.3134368564645094,0.5251055842327546,0.7925856405443453,0.2899551432045605,0.5056235402360482,0.29458899681534956,0.533792445409977,0.2793189740624504,0.03333333333333333,0.2266142606439766
61,0.1,0.8675777269440598,0.7421406840601088,0.9502166497649119
62,0.1,0.826525835603176,0.7530192680003688,0.9532589656126118
63,0.1,0.811211268627293,0.7544021388402323,0.9551949847884208
64,0.1,0.8036314445925801,0.7591960910850927,0.9580529178574722
65,0.1,0.7978285567666172,0.7565225407946897,0.9583294920254448
66,0.1,0.8047693696694186,0.7593804738637411,0.9572231953535539
67,0.1,0.7849514462507803,0.7623305983221167,0.9567622384069328
68,0.1,0.7962871187511562,0.7611321102609017,0.9570388125749055
69,0.1,0.7835834910542754,0.7621462155434683,0.9586060661934175
