epoch,lr,train_loss,train_top1,train_top5,balanced_test_loss,balanced_test_top1,balanced_test_top5,balanced_test_macro_f1,balanced_test_weighted_f1,balanced_test_balanced_acc,balanced_test_many_acc,balanced_test_medium_acc,balanced_test_few_acc,balanced_test_ece,imbalanced_test_loss,imbalanced_test_top1,imbalanced_test_top5,imbalanced_test_macro_f1,imbalanced_test_weighted_f1,imbalanced_test_balanced_acc,imbalanced_test_many_acc,imbalanced_test_medium_acc,imbalanced_test_few_acc,imbalanced_test_ece
1,0.1,0.6004352479090589,0.002396976122430165,0.015395962017147598,,,,,,,,,,,,,,,,,,,,
2,0.1,0.54493283460555,0.0034110814049967734,0.02231031621646538,,,,,,,,,,,,,,,,,,,,
3,0.1,0.52552078397931,0.005254909191481516,0.028579330690513507,,,,,,,,,,,,,,,,,,,,
4,0.1,0.5078139330968886,0.007098736977966258,0.03586245044712824,,,,,,,,,,,,,,,,,,,,
5,0.1,0.4980721177593886,0.007744076703235918,0.037245321286991796,,,,,,,,,,,,,,,,,,,,
6,0.1,0.488714707195017,0.00995667004701761,0.042315847699824834,,,,,,,,,,,,,,,,,,,,
7,0.1,0.47958548324574324,0.008942564764451,0.04738637411265788,,,,,,,,,,,,,,,,,,,,
8,0.1,0.47996162688214516,0.009311330321747949,0.04775513966995482,,,,,,,,,,,,,,,,,,,,
9,0.1,0.4659337602109967,0.01115515810823269,0.05466949386927261,,,,,,,,,,,,,,,,,,,,
10,0.1,0.45465868748563043,0.013552134230662856,0.058910297778187515,3.66990518989563,0.0666,0.2248,0.03192435993275921,0.03192435993275922,0.0666,0.0,0.09428571428571428,0.112,0.04330415497544764,0.452169294363733,0.014547160957297044,0.0656968559361802,0.009764359537486571,0.0035390848103910378,0.07453546453546454,0.0,0.08914894629180344,0.14444444444444443,0.09075270923410049
11,0.1,0.45246257593063116,0.01410528256660828,0.06499492947358716,,,,,,,,,,,,,,,,,,,,
12,0.1,0.44787817613984227,0.014935005070526412,0.06619341753480225,,,,,,,,,,,,,,,,,,,,
13,0.1,0.4432726133330754,0.014013091177284042,0.06545588642020836,,,,,,,,,,,,,,,,,,,,
14,0.1,0.43992765111751003,0.015856918963768785,0.07172490089425648,,,,,,,,,,,,,,,,,,,,
15,0.1,0.426977748589284,0.016410067299714205,0.07578132202452291,,,,,,,,,,,,,,,,,,,,
16,0.1,0.42532740163398663,0.015488153406471836,0.07716419286438647,,,,,,,,,,,,,,,,,,,,
17,0.1,0.4214062772555935,0.018069512307550474,0.0812206139946529,,,,,,,,,,,,,,,,,,,,
18,0.1,0.4121894725893152,0.019083617590117084,0.08675209735410713,,,,,,,,,,,,,,,,,,,,
19,0.1,0.4110999056971369,0.017792938139577764,0.08933345625518577,,,,,,,,,,,,,,,,,,,,
20,0.1,0.39986170963657675,0.022125933437816908,0.08841154236194339,3.587927698516846,0.0797,0.2747,0.04915719894584186,0.04915719894584187,0.07970000000000001,0.00028571428571428574,0.1305714285714286,0.11299999999999999,0.058397626812424094,0.41321941236132803,0.01642421398404505,0.09244486156733928,0.011558316807879634,0.003689977684102702,0.07383766233766234,0.0,0.1252504638218924,0.1,0.10118468678093566
21,0.1,0.4010244573086893,0.019360191758089795,0.09652438462247626,,,,,,,,,,,,,,,,,,,,
22,0.1,0.39302499137315333,0.022125933437816908,0.09698534156909745,,,,,,,,,,,,,,,,,,,,
23,0.1,0.3909222777193457,0.022771273163086567,0.1070342030054393,,,,,,,,,,,,,,,,,,,,
24,0.1,0.3840831180448366,0.022863464552410805,0.1030699732644971,,,,,,,,,,,,,,,,,,,,
25,0.1,0.3816268657763191,0.02387756983497741,0.10777173412003319,,,,,,,,,,,,,,,,,,,,
26,0.1,0.37906078605088284,0.023140038720383515,0.10933898773854522,,,,,,,,,,,,,,,,,,,,
27,0.1,0.3663895314763172,0.02489167511754402,0.10998432746381488,,,,,,,,,,,,,,,,,,,,
28,0.1,0.36185465798412497,0.02655112012538029,0.12003318890015673,,,,,,,,,,,,,,,,,,,,
29,0.1,0.3672632254702029,0.023785378445653177,0.11929565778556282,,,,,,,,,,,,,,,,,,,,
30,0.1,0.36149565697903235,0.026643311514704525,0.12399741864109892,3.7795992210388185,0.0832,0.2743,0.062143880424922776,0.06214388042492278,0.0832,0.00028571428571428574,0.12914285714285714,0.12633333333333333,0.10562346614229849,0.4225605259348338,0.021586109807602064,0.09526044110746129,0.03569598912947058,0.011820342751910235,0.09721536796536796,0.0006349206349206349,0.1485518449804164,0.15,0.15914444010155163
31,0.1,0.3468438848582481,0.029316861805107404,0.12962109338987737,,,,,,,,,,,,,,,,,,,,
32,0.1,0.3446344039654901,0.030791924034295197,0.1311883470083894,,,,,,,,,,,,,,,,,,,,
33,0.1,0.3529464630879729,0.03014658430902554,0.13183368673365908,,,,,,,,,,,,,,,,,,,,
34,0.1,0.3376387006634005,0.03291232598875265,0.1381027012077072,,,,,,,,,,,,,,,,,,,,
35,0.1,0.3411786199726025,0.029132479026458928,0.1381027012077072,,,,,,,,,,,,,,,,,,,,
36,0.1,0.3314279967149172,0.0300543929197013,0.13745736148243753,,,,,,,,,,,,,,,,,,,,
37,0.1,0.33133720013582507,0.033649857103346545,0.1442795242924311,,,,,,,,,,,,,,,,,,,,
38,0.1,0.32123538289595893,0.03355766571402231,0.14990319904120955,,,,,,,,,,,,,,,,,,,,
39,0.1,0.33194206089449,0.03217479487415875,0.1410528256660828,,,,,,,,,,,,,,,,,,,,
40,0.1,0.3140495132991133,0.036231216004425186,0.14925785931593988,3.7463459197998046,0.1023,0.3184,0.07281230255951447,0.07281230255951447,0.10230000000000002,0.011714285714285715,0.15057142857142858,0.15166666666666664,0.1425348890838475,0.4200884974559447,0.03050211168465509,0.1328015016424214,0.02773220409760056,0.015222972743427524,0.10589848019627432,0.012310606060606062,0.14739933735732055,0.16666666666666666,0.19181130007444921
41,0.1,0.3216907434832438,0.035770259057804,0.1534986632248548,,,,,,,,,,,,,,,,,,,,
42,0.1,0.3117571371078843,0.03835161795888264,0.15193140960634277,,,,,,,,,,,,,,,,,,,,
43,0.1,0.2960554964203675,0.03927353185212501,0.1594911035309302,,,,,,,,,,,,,,,,,,,,
44,0.1,0.29948564713409204,0.040011062966718906,0.16151931409606343,,,,,,,,,,,,,,,,,,,,
45,0.1,0.3009675947541112,0.04037982852401586,0.1617036968747119,,,,,,,,,,,,,,,,,,,,
46,0.1,0.28561622084610316,0.043329952982391444,0.1668664146768692,,,,,,,,,,,,,,,,,,,,
47,0.1,0.28507001856136754,0.04480501521157924,0.16714298884484188,,,,,,,,,,,,,,,,,,,,
48,0.1,0.30469006787656894,0.038443809348206875,0.16400848160781784,,,,,,,,,,,,,,,,,,,,
49,0.1,0.28511751072301483,0.04351433576103992,0.16953996496727206,,,,,,,,,,,,,,,,,,,,
50,0.1,0.28766838845332293,0.0439752927076611,0.169908730524569,4.12170783996582,0.1114,0.321,0.08355724938582706,0.08355724938582708,0.11139999999999999,0.005428571428571428,0.16685714285714284,0.17033333333333334,0.18349678796460195,0.465372452149644,0.02721726888784608,0.1309244486156734,0.03991556918482264,0.017825598598551762,0.10388232323232323,0.008795918367346937,0.16420119562976707,0.14444444444444443,0.25375527996500985
51,0.1,0.27279811182351354,0.04683322577671246,0.17617774499861713,,,,,,,,,,,,,,,,,,,,
52,0.1,0.28370017195732633,0.0472019913340094,0.1738729602655112,,,,,,,,,,,,,,,,,,,,
53,0.1,0.29664989055986174,0.03991887157739467,0.16410067299714207,,,,,,,,,,,,,,,,,,,,
54,0.1,0.26657665611917963,0.04876924495252143,0.18299990780861067,,,,,,,,,,,,,,,,,,,,
55,0.1,0.2719010560564416,0.04572692910482161,0.17885129528902,,,,,,,,,,,,,,,,,,,,
56,0.1,0.2557289247137726,0.04996773301373652,0.1853046925417166,,,,,,,,,,,,,,,,,,,,
57,0.1,0.26011965675288945,0.05098183829630312,0.19019083617590118,,,,,,,,,,,,,,,,,,,,
58,0.1,0.24785159655328148,0.053471005808057526,0.1905596017331981,,,,,,,,,,,,,,,,,,,,
59,0.1,0.2781906421398901,0.0472019913340094,0.17903567806766849,,,,,,,,,,,,,,,,,,,,
60,0.1,0.24626082700661847,0.05208813496819397,0.19231123813035864,4.234941822052002,0.1174,0.3509,0.09439575369436447,0.09439575369436447,0.1174,0.017714285714285717,0.168,0.17466666666666664,0.20612413656531625,0.4471691215698398,0.02956358517128109,0.16189582355701548,0.04288828218239308,0.023059353264693196,0.09729847973663762,0.01724638060352346,0.16551118054877453,0.1111111111111111,0.271582015078605
61,0.1,0.24768384295399204,0.05383977136535448,0.19295657785562828,,,,,,,,,,,,,,,,,,,,
62,0.1,0.24524676817633034,0.051903752189545495,0.19194247257306168,,,,,,,,,,,,,,,,,,,,
