class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.914
1,aquarium_fish,477,477,many,0.8448637316561844
2,baby,455,455,many,0.621978021978022
3,bear,434,434,many,0.5207373271889401
4,beaver,415,415,many,0.5156626506024097
5,bed,396,396,many,0.7828282828282829
6,bee,378,378,many,0.7248677248677249
7,beetle,361,361,many,0.6565096952908587
8,bicycle,344,344,many,0.7616279069767442
9,bottle,328,328,many,0.8079268292682927
10,bowl,314,314,many,0.6019108280254777
11,boy,299,299,many,0.44481605351170567
12,bridge,286,286,many,0.7517482517482518
13,bus,273,273,many,0.7326007326007326
14,butterfly,260,260,many,0.6
15,camel,248,248,many,0.7137096774193549
16,can,237,237,many,0.7046413502109705
17,castle,226,226,many,0.8539823008849557
18,caterpillar,216,216,many,0.6712962962962963
19,cattle,206,206,many,0.529126213592233
20,chair,197,197,many,0.9289340101522843
21,chimpanzee,188,188,many,0.8031914893617021
22,clock,179,179,many,0.6983240223463687
23,cloud,171,171,many,0.8011695906432749
24,cockroach,163,163,many,0.8343558282208589
25,couch,156,156,many,0.4423076923076923
26,crab,149,149,many,0.5234899328859061
27,crocodile,142,142,many,0.6338028169014085
28,cup,135,135,many,0.762962962962963
29,dinosaur,129,129,many,0.5116279069767442
30,dolphin,123,123,many,0.7073170731707317
31,elephant,118,118,many,0.7372881355932204
32,flatfish,112,112,many,0.5178571428571429
33,forest,107,107,many,0.6822429906542056
34,fox,102,102,many,0.4803921568627451
35,girl,98,98,medium,0.5306122448979592
36,hamster,93,93,medium,0.7419354838709677
37,house,89,89,medium,0.5842696629213483
38,kangaroo,85,85,medium,0.4823529411764706
39,keyboard,81,81,medium,0.6666666666666666
40,lamp,77,77,medium,0.5194805194805194
41,lawn_mower,74,74,medium,0.7837837837837838
42,leopard,70,70,medium,0.5714285714285714
43,lion,67,67,medium,0.6567164179104478
44,lizard,64,64,medium,0.375
45,lobster,61,61,medium,0.18032786885245902
46,man,58,58,medium,0.27586206896551724
47,maple_tree,56,56,medium,0.75
48,motorcycle,53,53,medium,0.8490566037735849
49,mountain,51,51,medium,0.7450980392156863
50,mouse,48,48,medium,0.3541666666666667
51,mushroom,46,46,medium,0.34782608695652173
52,oak_tree,44,44,medium,0.8409090909090909
53,orange,42,42,medium,0.8571428571428571
54,orchid,40,40,medium,0.725
55,otter,38,38,medium,0.07894736842105263
56,palm_tree,36,36,medium,0.4722222222222222
57,pear,35,35,medium,0.6285714285714286
58,pickup_truck,33,33,medium,0.6363636363636364
59,pine_tree,32,32,medium,0.5625
60,plain,30,30,medium,0.8
61,plate,29,29,medium,0.5172413793103449
62,poppy,27,27,medium,0.7407407407407407
63,porcupine,26,26,medium,0.23076923076923078
64,possum,25,25,medium,0.36
65,rabbit,24,24,medium,0.041666666666666664
66,raccoon,23,23,medium,0.043478260869565216
67,ray,22,22,medium,0.6363636363636364
68,road,21,21,medium,0.47619047619047616
69,rocket,20,20,medium,0.7
70,rose,19,19,few,0.42105263157894735
71,sea,18,18,few,0.6111111111111112
72,seal,17,17,few,0.17647058823529413
73,shark,16,16,few,0.4375
74,shrew,15,15,few,0.0
75,skunk,15,15,few,0.6666666666666666
76,skyscraper,14,14,few,0.7857142857142857
77,snail,13,13,few,0.0
78,snake,13,13,few,0.0
79,spider,12,12,few,0.25
80,squirrel,12,12,few,0.0
81,streetcar,11,11,few,0.18181818181818182
82,sunflower,11,11,few,1.0
83,sweet_pepper,10,10,few,0.1
84,table,10,10,few,0.4
85,tank,9,9,few,0.3333333333333333
86,telephone,9,9,few,0.2222222222222222
87,television,8,8,few,0.5
88,tiger,8,8,few,0.125
89,tractor,7,7,few,0.0
90,train,7,7,few,0.2857142857142857
91,trout,7,7,few,0.0
92,tulip,6,6,few,0.3333333333333333
93,turtle,6,6,few,0.0
94,wardrobe,6,6,few,0.6666666666666666
95,whale,6,6,few,0.5
96,willow_tree,5,5,few,0.2
97,wolf,5,5,few,0.0
98,woman,5,5,few,0.0
99,worm,5,5,few,0.0
