method,split,top1,top5,macro_f1,balanced_acc,many_acc,medium_acc,few_acc,ece
HOG+PCA+LinearSVM,train,0.4103438738821794,0.677698902922467,0.5220510410110493,0.6538830326506097,0.36855641640561226,0.6890035062421246,0.9457901990796728,0.5862015191149056
HOG+PCA+LinearSVM,balanced_test,0.1263,0.3062,0.10936148867903892,0.1263,0.22742857142857145,0.11942857142857143,0.01633333333333333,0.8717595472647391
HOG+PCA+LinearSVM,imbalanced_test,0.2045987799155326,0.4687939934303144,0.10499886599657049,0.11026334785458174,0.21376162968240403,0.10127650704497232,0.0,0.7940898095230392
