class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.872
1,aquarium_fish,477,477,many,0.8071278825995807
2,baby,455,455,many,0.5626373626373626
3,bear,434,434,many,0.43548387096774194
4,beaver,415,415,many,0.5108433734939759
5,bed,396,396,many,0.7247474747474747
6,bee,378,378,many,0.6455026455026455
7,beetle,361,361,many,0.628808864265928
8,bicycle,344,344,many,0.7063953488372093
9,bottle,328,328,many,0.7682926829268293
10,bowl,314,314,many,0.5414012738853503
11,boy,299,299,many,0.43478260869565216
12,bridge,286,286,many,0.6748251748251748
13,bus,273,273,many,0.6886446886446886
14,butterfly,260,260,many,0.5576923076923077
15,camel,248,248,many,0.6209677419354839
16,can,237,237,many,0.6455696202531646
17,castle,226,226,many,0.8053097345132744
18,caterpillar,216,216,many,0.5972222222222222
19,cattle,206,206,many,0.5145631067961165
20,chair,197,197,many,0.8984771573604061
21,chimpanzee,188,188,many,0.7712765957446809
22,clock,179,179,many,0.6256983240223464
23,cloud,171,171,many,0.7719298245614035
24,cockroach,163,163,many,0.8711656441717791
25,couch,156,156,many,0.46153846153846156
26,crab,149,149,many,0.4966442953020134
27,crocodile,142,142,many,0.6126760563380281
28,cup,135,135,many,0.7407407407407407
29,dinosaur,129,129,many,0.4883720930232558
30,dolphin,123,123,many,0.7317073170731707
31,elephant,118,118,many,0.6864406779661016
32,flatfish,112,112,many,0.48214285714285715
33,forest,107,107,many,0.6635514018691588
34,fox,102,102,many,0.49019607843137253
35,girl,98,98,medium,0.40816326530612246
36,hamster,93,93,medium,0.6451612903225806
37,house,89,89,medium,0.550561797752809
38,kangaroo,85,85,medium,0.4235294117647059
39,keyboard,81,81,medium,0.6666666666666666
40,lamp,77,77,medium,0.5064935064935064
41,lawn_mower,74,74,medium,0.7567567567567568
42,leopard,70,70,medium,0.6285714285714286
43,lion,67,67,medium,0.6567164179104478
44,lizard,64,64,medium,0.265625
45,lobster,61,61,medium,0.19672131147540983
46,man,58,58,medium,0.3448275862068966
47,maple_tree,56,56,medium,0.7321428571428571
48,motorcycle,53,53,medium,0.7169811320754716
49,mountain,51,51,medium,0.6666666666666666
50,mouse,48,48,medium,0.1875
51,mushroom,46,46,medium,0.30434782608695654
52,oak_tree,44,44,medium,0.9545454545454546
53,orange,42,42,medium,0.8333333333333334
54,orchid,40,40,medium,0.65
55,otter,38,38,medium,0.07894736842105263
56,palm_tree,36,36,medium,0.3888888888888889
57,pear,35,35,medium,0.6
58,pickup_truck,33,33,medium,0.6060606060606061
59,pine_tree,32,32,medium,0.4375
60,plain,30,30,medium,0.8
61,plate,29,29,medium,0.3448275862068966
62,poppy,27,27,medium,0.5555555555555556
63,porcupine,26,26,medium,0.07692307692307693
64,possum,25,25,medium,0.2
65,rabbit,24,24,medium,0.0
66,raccoon,23,23,medium,0.043478260869565216
67,ray,22,22,medium,0.7272727272727273
68,road,21,21,medium,0.8571428571428571
69,rocket,20,20,medium,0.7
70,rose,19,19,few,0.3684210526315789
71,sea,18,18,few,0.6666666666666666
72,seal,17,17,few,0.11764705882352941
73,shark,16,16,few,0.375
74,shrew,15,15,few,0.0
75,skunk,15,15,few,0.6666666666666666
76,skyscraper,14,14,few,0.8571428571428571
77,snail,13,13,few,0.0
78,snake,13,13,few,0.15384615384615385
79,spider,12,12,few,0.25
80,squirrel,12,12,few,0.0
81,streetcar,11,11,few,0.18181818181818182
82,sunflower,11,11,few,0.9090909090909091
83,sweet_pepper,10,10,few,0.2
84,table,10,10,few,0.3
85,tank,9,9,few,0.4444444444444444
86,telephone,9,9,few,0.5555555555555556
87,television,8,8,few,0.5
88,tiger,8,8,few,0.0
89,tractor,7,7,few,0.14285714285714285
90,train,7,7,few,0.0
91,trout,7,7,few,0.14285714285714285
92,tulip,6,6,few,0.3333333333333333
93,turtle,6,6,few,0.16666666666666666
94,wardrobe,6,6,few,1.0
95,whale,6,6,few,0.6666666666666666
96,willow_tree,5,5,few,0.4
97,wolf,5,5,few,0.0
98,woman,5,5,few,0.0
99,worm,5,5,few,0.0
