epoch,lr,train_loss,train_top1,train_top5
1,0.1,4.096183807649645,0.09117728404167051,0.2876371346916198
2,0.1,3.765563169008819,0.14169816539135244,0.39946528994191943
3,0.1,3.5746834898606044,0.17986540057158662,0.4509080851848437
4,0.1,3.40707527963623,0.2158200424080391,0.5020743062597953
5,0.1,3.2896486831676293,0.2354568083341016,0.5243846224762607
6,0.1,3.137140285873167,0.2658799668110998,0.5670692357333825
7,0.1,3.0150400671286772,0.28994191942472575,0.5944500783626809
8,0.1,2.8768101426503776,0.3218401401309118,0.6280077440767032
9,0.1,2.7561638711773,0.3440582649580529,0.6556651608739744
10,0.1,2.616599788377392,0.37448142343505114,0.6883009126947544,4.7776894241333006,0.138,0.3428,0.09279072052767397,0.09279072052767397,0.138,0.32228571428571423,0.07114285714285715,0.001,0.2926220941781443,3.1324710501353543,0.29375879868606286,0.6020647583294229,0.11941956367079666,0.2589266201452368,0.1351468493680016,0.3070285162318084,0.0791053391053391,0.0,0.1806445569696815
11,0.1,2.5221621975587065,0.38904766294828064,0.7047109799944685
12,0.1,2.417092559567748,0.4103438738821794,0.7250852770351249
13,0.1,2.304268544045771,0.43459020927445374,0.747672167419563
14,0.1,2.250254568399081,0.45293629574997696,0.7565225407946897
15,0.1,2.159294159541847,0.4671337697059095,0.7703512491933253
16,0.1,2.089650073864278,0.48796902369318707,0.7858394025997972
17,0.1,2.0146113474863383,0.4986632248547986,0.7974555176546511
18,0.1,1.9583185167700352,0.5084355121231677,0.8035401493500507
19,0.1,1.896115625916818,0.5206969669032913,0.8248363602839495
20,0.1,1.843016395857227,0.5343412925232783,0.826219231123813,4.251552799224854,0.2179,0.4784,0.17475021536025367,0.17475021536025365,0.21789999999999998,0.4585714285714286,0.152,0.014000000000000002,0.30217307575647656,2.430817483289317,0.4533083059596434,0.7282965743782261,0.24121664021179157,0.42836822570794564,0.2369524706079141,0.4538417811136365,0.18030813490897524,0.05,0.1296247714633874
21,0.1,1.7786898468566554,0.550935742601641,0.8340554992163732
22,0.1,1.7351804418564722,0.563012814603116,0.8419839586982576
23,0.1,1.6902772521075866,0.5664238960081128,0.8505577579054117
24,0.1,1.6432347355915828,0.5820964321932331,0.8591315571125657
25,0.1,1.6036458373937978,0.5912233797363327,0.864294274914723
26,0.1,1.564599416481687,0.595279800866599,0.8699179496635014
27,0.1,1.5228433771991527,0.6044067484096985,0.8735134138471466
28,0.1,1.495684545600844,0.615469715128607,0.8760025813589011
29,0.1,1.4577951123222752,0.6231216004425186,0.8817184474970038
