epoch,lr,train_loss,train_top1,train_top5
1,0.1,4.096183807649645,0.09117728404167051,0.2876371346916198
2,0.1,3.765563169008819,0.14169816539135244,0.39946528994191943
3,0.1,3.5746834898606044,0.17986540057158662,0.4509080851848437
4,0.1,3.40707527963623,0.2158200424080391,0.5020743062597953
5,0.1,3.2896486831676293,0.2354568083341016,0.5243846224762607
6,0.1,3.137140285873167,0.2658799668110998,0.5670692357333825
7,0.1,3.0150400671286772,0.28994191942472575,0.5944500783626809
8,0.1,2.8768101426503776,0.3218401401309118,0.6280077440767032
9,0.1,2.7561638711773,0.3440582649580529,0.6556651608739744
10,0.1,2.616599788377392,0.37448142343505114,0.6883009126947544,4.7776894241333006,0.138,0.3428,0.09279072052767397,0.09279072052767397,0.138,0.32228571428571423,0.07114285714285715,0.001,0.2926220941781443,3.1324710501353543,0.29375879868606286,0.6020647583294229,0.11941956367079666,0.2589266201452368,0.1351468493680016,0.3070285162318084,0.0791053391053391,0.0,0.1806445569696815
11,0.1,2.5221621975587065,0.38904766294828064,0.7047109799944685
12,0.1,2.417092559567748,0.4103438738821794,0.7250852770351249
13,0.1,2.304268544045771,0.43459020927445374,0.747672167419563
14,0.1,2.250254568399081,0.45293629574997696,0.7565225407946897
15,0.1,2.159294159541847,0.4671337697059095,0.7703512491933253
16,0.001,2.089650073864278,0.48796902369318707,0.7858394025997972
17,0.001,2.9999098997352593,0.5363695030884116,0.8249285516732737
18,1e-05,2.7330628901986556,0.5531483359454227,0.8323038628192126
19,1e-05,2.6428598548516025,0.5536092928920439,0.8359915183921822
20,1e-05,2.6536993698182716,0.5511201253802894,0.8349774131096156,4.8685680122375485,0.2924,0.5585,0.23380104775182603,0.23380104775182603,0.2924,0.5208571428571429,0.2782857142857143,0.042333333333333334,0.12498709848122655,3.0352666207402597,0.48756452369779446,0.7728765837634913,0.25886075152450266,0.4791452323216886,0.2927367236068134,0.5080745416120384,0.27593514488361903,0.06111111111111111,0.026811478072930488
