epoch,lr,train_loss,train_top1,train_top5,balanced_test_loss,balanced_test_top1,balanced_test_top5,balanced_test_macro_f1,balanced_test_weighted_f1,balanced_test_balanced_acc,balanced_test_many_acc,balanced_test_medium_acc,balanced_test_few_acc,balanced_test_ece,imbalanced_test_loss,imbalanced_test_top1,imbalanced_test_top5,imbalanced_test_macro_f1,imbalanced_test_weighted_f1,imbalanced_test_balanced_acc,imbalanced_test_many_acc,imbalanced_test_medium_acc,imbalanced_test_few_acc,imbalanced_test_ece
1,0.1,3.842807061883,0.06038536000737531,0.18936111367198305,,,,,,,,,,,,,,,,,,,,
2,0.1,3.5431662751659663,0.09901355213423066,0.2893887710887803,,,,,,,,,,,,,,,,,,,,
3,0.1,3.4051587665159055,0.12648658615285333,0.32552779570388124,,,,,,,,,,,,,,,,,,,,
4,0.1,3.2563818589964253,0.14621554346824006,0.3811192034663962,,,,,,,,,,,,,,,,,,,,
5,0.1,3.143474529555968,0.1728588549829446,0.41071263943947633,,,,,,,,,,,,,,,,,,,,
6,0.1,3.0129021095484427,0.1944316400848161,0.4533050613072739,,,,,,,,,,,,,,,,,,,,
7,0.1,2.8837141038701755,0.2195998893703328,0.4805937125472481,,,,,,,,,,,,,,,,,,,,
8,0.1,2.7662990901880553,0.237945975845856,0.5132294643680281,,,,,,,,,,,,,,,,,,,,
9,0.1,2.6502655442435588,0.26560339264312716,0.5391352447681387,,,,,,,,,,,,,,,,,,,,
10,0.1,2.530062450817063,0.2854245413478381,0.5737992071540519,4.233793984985351,0.1761,0.4511,0.13651723159820295,0.13651723159820295,0.17610000000000006,0.28742857142857137,0.17085714285714285,0.052333333333333336,0.07989854155118965,2.691289045731264,0.2656030032848428,0.5490380103237916,0.13350691474119344,0.2604269605133463,0.18309793042166153,0.2806725037403069,0.1757977736549165,0.07777777777777777,0.05761820005625568
11,0.1,2.439961739088452,0.30506130727390063,0.597215820042408,,,,,,,,,,,,,,,,,,,,
12,0.1,2.347181630528027,0.3333640637964414,0.6168525859684706,,,,,,,,,,,,,,,,,,,,
13,0.1,2.237939243087178,0.35751820779939153,0.6347377154973726,,,,,,,,,,,,,,,,,,,,
14,0.1,2.1622165809130904,0.3638794136627639,0.6495805291785747,,,,,,,,,,,,,,,,,,,,
15,0.1,2.1031560009060186,0.37567991149626623,0.6681109984327464,,,,,,,,,,,,,,,,,,,,
16,0.1,2.0308812473999955,0.39633078270489536,0.6733659076242279,,,,,,,,,,,,,,,,,,,,
17,0.1,1.9446657120472628,0.4142159122337974,0.6950308841154236,,,,,,,,,,,,,,,,,,,,
18,0.1,1.8976459449322485,0.4200239697612243,0.707200147506223,,,,,,,,,,,,,,,,,,,,
19,0.1,1.8451618821959215,0.43210104176269937,0.712270673919056,,,,,,,,,,,,,,,,,,,,
20,0.1,1.7728716798715354,0.45293629574997696,0.7290495067760672,3.9058464584350587,0.2544,0.5469,0.2308258367282296,0.23082583672822965,0.2544,0.364,0.2517142857142857,0.12966666666666665,0.13438679723740993,2.514840248715201,0.34537775692163303,0.6001877053026748,0.20710066809548866,0.3580838887891014,0.25230688212380786,0.3517019263259158,0.25488916545639234,0.13333333333333333,0.07237768167791878
21,0.1,1.751285805244583,0.4512768507421407,0.7347653729141698,,,,,,,,,,,,,,,,,,,,
22,0.1,1.6849591943364193,0.47072923388955473,0.7453673826864571,,,,,,,,,,,,,,,,,,,,
23,0.1,1.6451181230363048,0.48022494698995116,0.7629759380473864,,,,,,,,,,,,,,,,,,,,
24,0.1,1.619729270119156,0.4808702867152208,0.7567069235733382,,,,,,,,,,,,,,,,,,,,
25,0.1,1.5809262598606038,0.491841062044805,0.7681386558495437,,,,,,,,,,,,,,,,,,,,
26,0.1,1.5428456123978398,0.49893979902277125,0.7754217756061584,,,,,,,,,,,,,,,,,,,,
27,0.1,1.5073015233432245,0.50391813404628,0.786945699271688,,,,,,,,,,,,,,,,,,,,
28,0.1,1.4647996298693353,0.5188531391168065,0.7894348667834424,,,,,,,,,,,,,,,,,,,,
29,0.1,1.4479892704248802,0.526412833041394,0.7940444362496543,,,,,,,,,,,,,,,,,,,,
