epoch,lr,train_loss,train_top1,train_top5,balanced_test_loss,balanced_test_top1,balanced_test_top5,balanced_test_macro_f1,balanced_test_weighted_f1,balanced_test_balanced_acc,balanced_test_many_acc,balanced_test_medium_acc,balanced_test_few_acc,balanced_test_ece,imbalanced_test_loss,imbalanced_test_top1,imbalanced_test_top5,imbalanced_test_macro_f1,imbalanced_test_weighted_f1,imbalanced_test_balanced_acc,imbalanced_test_many_acc,imbalanced_test_medium_acc,imbalanced_test_few_acc,imbalanced_test_ece
1,0.1,9.192256316090658,0.03696874711901908,0.15608002212593344,,,,,,,,,,,,,,,,,,,,
2,0.1,6.488294369505992,0.036231216004425186,0.15469715128606987,,,,,,,,,,,,,,,,,,,,
3,0.1,6.530028358762623,0.0375218954549645,0.15939891214160598,,,,,,,,,,,,,,,,,,,,
4,0.1,6.495647436926044,0.03512491933253434,0.1557112565686365,,,,,,,,,,,,,,,,,,,,
5,0.1,6.529287978362475,0.03558587627915553,0.1605052088134968,,,,,,,,,,,,,,,,,,,,
6,0.1,6.4775840582205335,0.032543560431455704,0.15939891214160598,,,,,,,,,,,,,,,,,,,,
7,0.1,6.523015879151612,0.03715312989766756,0.16151931409606343,,,,,,,,,,,,,,,,,,,,
8,0.1,6.475475337259822,0.03475615377523739,0.16373190743984511,,,,,,,,,,,,,,,,,,,,
9,0.1,6.531664561926412,0.03355766571402231,0.15331428044620632,,,,,,,,,,,,,,,,,,,,
10,0.1,6.534386617374429,0.03558587627915553,0.1570019360191758,8.72366979675293,0.01,0.05,0.00019801980198019803,0.000198019801980198,0.01,0.02857142857142857,0.0,0.0,0.00424053353415311,6.465154838472507,0.02111684655091506,0.18442045987799155,0.0004136029411764706,0.0008733989841830678,0.01,0.02857142857142857,0.0,0.0,0.006876313016761955
11,0.1,6.467917767276168,0.03420300543929197,0.15810823269106666,,,,,,,,,,,,,,,,,,,,
12,0.1,6.496008138849162,0.037245321286991796,0.15755508435512122,,,,,,,,,,,,,,,,,,,,
13,0.1,6.539504223400913,0.03457177099658892,0.15903014658430903,,,,,,,,,,,,,,,,,,,,
14,0.1,6.506366597591726,0.035309302111182814,0.1589379551949848,,,,,,,,,,,,,,,,,,,,
15,0.1,6.527760303634822,0.03715312989766756,0.16161150548538766,,,,,,,,,,,,,,,,,,,,
16,0.1,6.546554408183765,0.03494053655388587,0.16327095049322393,,,,,,,,,,,,,,,,,,,,
17,0.1,6.496042501676947,0.03586245044712824,0.1589379551949848,,,,,,,,,,,,,,,,,,,,
18,0.1,6.51403374165074,0.03475615377523739,0.15442057711809717,,,,,,,,,,,,,,,,,,,,
19,0.1,6.5184061956524335,0.037337512676316034,0.15976767769890293,,,,,,,,,,,,,,,,,,,,
20,0.1,6.55195471204524,0.03438738821794044,0.15405181156080022,8.566655287170411,0.01,0.05,0.00019801980198019803,0.000198019801980198,0.01,0.02857142857142857,0.0,0.0,0.0037380454069827294,6.3515005876960915,0.044580009385265136,0.14359455654622244,0.0008535489667565139,0.003805122094878875,0.01,0.02857142857142857,0.0,0.0,0.030841960150588835
21,0.1,6.504560056870859,0.03706093850834332,0.1589379551949848,,,,,,,,,,,,,,,,,,,,
22,0.1,6.480205561737317,0.03613902461510095,0.16032082603484835,,,,,,,,,,,,,,,,,,,,
23,0.1,6.518706947754658,0.03263575182077994,0.16216465382133308,,,,,,,,,,,,,,,,,,,,
24,0.001,6.498402397742719,0.03881257490550383,0.1617036968747119,,,,,,,,,,,,,,,,,,,,
25,0.001,7.8900834574417615,0.018991426200792846,0.1241818014197474,,,,,,,,,,,,,,,,,,,,
26,0.001,7.570304057164446,0.007006545588642021,0.06471835530561446,,,,,,,,,,,,,,,,,,,,
27,1e-05,7.531839966741017,0.0022125933437816907,0.037245321286991796,,,,,,,,,,,,,,,,,,,,
28,1e-05,7.497795857316702,0.0019360191758089795,0.04157831658523094,,,,,,,,,,,,,,,,,,,,
29,1e-05,7.496864282800226,0.0019360191758089795,0.04157831658523094,,,,,,,,,,,,,,,,,,,,
30,1e-05,7.496897437863277,0.0019360191758089795,0.04157831658523094,8.832288703918458,0.01,0.05,0.00019801980198019803,0.000198019801980198,0.01,0.0,0.02857142857142857,0.0,0.00020837898607322,7.423524122403744,0.0018770530267480056,0.041295166588456125,3.7470725995316157e-05,7.033453964395337e-06,0.01,0.0,0.02857142857142857,0.0,0.008331325571649024
